SampleID	InputFileName	CoralTag	CoralTag2	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Run	ref
KI14FSYM001	KI14FSYM001.fasta	1	1	coral	2014	1	Porites_lobata	35	alive	KI_Compartment	KI14_1
KI14FSYM002	KI14FSYM002.fasta	2	2_572	coral	2014	2	Montipora_foliosa	35	gone	KI_Compartment	KI14_2
KI14FSYM003	KI14FSYM003.fasta	3	3	coral	2014	3	Pocillopora_eydouxi	35	UK	KI_Compartment	KI14_3
KI14FSYM004	KI14FSYM004.fasta	4	4	coral	2014	4	Favites_pentagona	35	gone	KI_Platy	KI14_4
KI14FSYM005	KI14FSYM005.fasta	5	5	coral	2014	5	Porites_lobata	35	alive	KI_Compartment	KI14_5
KI14FSYM007	KI14FSYM007.fasta	7	7	coral	2014	7	Montipora_foliosa	35	UK	KI_Compartment	KI14_7
KI14FSYM008	KI14FSYM008.fasta	8	8	coral	2014	8	Porites_lobata	35	UK	KI_Compartment	KI14_8
KI14FSYM009	KI14FSYM009.fasta	9	9	coral	2014	9	Pocillopora_eydouxi	35	UK	KI_Compartment	KI14_9
KI14FSYM010	KI14FSYM010.fasta	10	10	coral	2014	10	Montipora foliosa	35		KI_Sym_Microbes	KI14_10
KI14FSYM012	KI14FSYM012.fasta	12	12_635	coral	2014	12	Porites_lobata	35	gone	KI_Compartment	KI14_12
KI14FSYM013	KI14FSYM013.fasta	13	13	coral	2014	13	Pocillopora_eydouxi	35	dead	KI_Compartment	KI14_13
KI14FSYM014	KI14FSYM014.fasta	14	14	coral	2014	14	Montipora foliosa	35		KI_Sym_Microbes	KI14_14
KI14FSYM015	KI14FSYM015.fasta	15	15	coral	2014	15	Porites_lobata	35	alive	KI_Compartment	KI14_15
KI14FSYM016	KI14FSYM016.fasta	16	16	coral	2014	16	Porites lobata	38		KI_Sym_Microbes	KI14_16
KI14FSYM018	KI14FSYM018.fasta	18	18	coral	2014	18	Porites lobata	38		KI_Sym_Microbes	KI14_18
KI14FSYM019	KI14FSYM019.fasta	19	19	coral	2014	19	Platygyra_sp	38	UK	KI_Platy	KI14_19
KI14FSYM020	KI14FSYM020.fasta	20	20	coral	2014	20	Pocillopora eydouxi	38		KI_Sym_Microbes	KI14_20
